id,date_id,meal
1,1,Breakfast
2,1,Lunch
3,1,Dinner
4,1,Post-Workout
5,2,Breakfast
6,2,Lunch
7,2,Dinner
8,2,Post-Workout
9,3,Breakfast
10,3,Lunch
11,3,Dinner
12,3,Post-Workout
13,4,Breakfast
14,4,Lunch
15,4,Dinner
16,4,Post-Workout
17,5,Breakfast
18,5,Lunch
19,5,Dinner
20,5,Post-Workout
21,6,Breakfast
22,6,Lunch
23,6,Dinner
24,6,Post-Workout
25,7,Breakfast
26,7,Lunch
27,7,Dinner
28,7,Post-Workout
29,8,Breakfast
30,8,Lunch
31,8,Dinner
32,8,Post-Workout
33,9,Breakfast
34,9,Lunch
35,9,Dinner
36,9,Post-Workout
